Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain,ID,maxs,Mw,Mc
Disp_0,42,2108.58,49040300,0.29247,44.5228424060578,14.1261,4999.9986467078,868.7771316,259.596198500158,6113.90162564543,6089.41700355772,1,45,1371.81424660994,0.0532237514853477,1,3889.32365250461,34248760.8757045,17169510.1794662
Disp_1,42,2378.76,30544100,0.384267,30.984098123811,19.1708,4999.99886048706,980.0966952,475.542762850264,4251.24930951435,4241.38533831956,1,NaN,Inf,Inf,2,7227.27728369158,22597136.2961036,6655353.75108272
Disp_10,26,1943.92,54098200,0.277512,31.4202244319132,17.8703,4999.99436948353,495.8162352,237.341833226889,3442.23157887618,3367.0612313877,1,NaN,Inf,Inf,3,5087.3935524266,42216344.1751963,19505010.0665192
Disp_100,37,2341.64,98842600,0.302208,36.3064353115825,13.4055,4999.99705652358,849.9450708,346.689453990069,6781.47535682355,6706.20749260176,1,NaN,Inf,Inf,4,4607.74363933117,72283015.2991275,34854192.0134264
Disp_1000,18,1794.09,51484900,0.339554,43.1577921887117,14.0802,5000.00686775436,316.8004122,100.105789382549,3325.92287977104,3142.17772991342,1,40,527.3432360756,0.0224209614098072,5,1593.59386375748,34054970.3846851,16892813.0433714
Disp_1001,25,1940.18,95876100,0.384034,22.0545805615134,12.2623,5000.00271874947,475.829145,297.160217132858,2795.96771814709,2679.16872781658,1,NaN,Inf,Inf,6,2786.60622113936,68827736.7780409,28120299.7905511
Disp_1002,45,1933.82,72867500,0.316529,37.8424896881549,14.1452,5000.00407300007,853.684839,329.955292296512,6248.22635430193,6214.2621893008,1,NaN,Inf,Inf,7,4144.17443422537,51543357.3472167,25041506.2605217
Disp_1004,45,1792.13,77377700,0.363721,38.1323562145694,13.227,5000.00320992244,791.1357885,302.625122084541,6056.14134934659,6019.86820183469,1,-35,1498.99434785595,0.048480149358511,8,2628.2271754918,52293286.7126705,25502270.0801451
Disp_1005,17,1852.93,92570100,0.308955,22.1138769657422,18.7427,5000.00053756104,309.0131361,192.685556275767,2077.44359563571,1837.05787432553,1,60,2242.8328234127,0.869178116321564,9,8059.67429002597,68538740.8057373,31836450.3228919
Disp_1006,33,2171.79,35987700,0.384668,24.9248963061686,18.2621,5000.00108476761,703.0735767,406.777346307384,3088.13800350324,3068.12710098293,1,NaN,Inf,Inf,10,6921.8928099153,26444806.1209393,4673007.08323199
Disp_1007,34,2342.11,74573300,0.374067,35.6943268270541,17.9341,4999.99434158686,781.1873694,325.395162211573,5600.30713168898,5542.68725468794,1,NaN,Inf,Inf,11,4167.02882229304,52601712.725674,28022706.3218296
Disp_1008,48,1983.49,55183000,0.359867,37.0622613828563,19.1348,5000.00410287804,933.9857712,371.088875010911,5781.65426782759,5762.93428111056,1,NaN,Inf,Inf,12,5034.52051828758,38752456.279339,20858869.2279474
Disp_1009,24,2377.21,59478000,0.366604,20.3138098475804,18.9726,4999.99755460788,559.6903224,365.3872795311,2575.49273239292,2509.29555730284,1,NaN,Inf,Inf,13,9234.17929727471,43919288.2116893,7713822.55135113
Disp_101,14,1686.83,75421800,0.267712,34.2070378793026,19.7553,4999.99788615988,231.6692322,101.428272456362,2599.50133092543,2179.6597164557,1,-35,2544.24621687776,0.366965860128403,14,3293.36737774343,55213555.5216471,28086991.2308668
Disp_1010,49,2090.27,40917800,0.341598,30.773253734542,12.6686,5000.00013678553,1004.7718863,490.688551937881,4802.30298304899,4791.24289495161,1,NaN,Inf,Inf,15,5548.65059222437,31025907.8877919,9080512.19653952
Disp_1012,21,2283.38,50932800,0.326371,33.4209210847094,15.8054,5000.00324207428,470.3991138,211.310083306028,3393.37591624546,3288.60322505532,1,0,2388.79931750262,0.217718422412872,16,3432.87501028145,38101554.4023506,18582508.603586
Disp_1013,43,1700.06,72712700,0.331422,26.3658155360553,14.656,4999.99927282533,717.1363098,398.655579597866,4100.52425082069,4068.85713591739,1,NaN,Inf,Inf,17,4541.00227001836,54960878.0109749,17716437.433086
Disp_1014,37,1686.35,93265300,0.297876,25.2962809641121,15.4032,4999.99888402053,612.0944595,350.546999477918,3849.40522675319,3788.09722596148,1,NaN,Inf,Inf,18,5089.13021365491,71646963.6726956,28667071.1200782
Disp_1015,26,1712.43,32323800,0.255687,32.3418699610504,15.2124,4999.99964759154,436.7723958,203.112311975331,2735.00097976473,2693.62699659569,1,NaN,Inf,Inf,19,4539.2472076504,25915291.6344676,11286197.8571465
Disp_1016,19,1712.08,75488300,0.346415,42.9158940031659,16.9042,4999.99348529465,319.1145912,101.821790665343,3874.37281186333,3603.36479879904,1,35,617.603006504469,0.0196591354906559,20,1724.25483465065,48847036.1654359,24946260.2181406
Disp_1017,50,2136.43,34406000,0.391613,32.1414639750892,17.598,5000.00110796886,1047.918915,490.414013779424,4724.58137585003,4716.55121970597,1,NaN,Inf,Inf,21,5993.42779139442,25262697.1224743,8045379.97088949
Disp_1018,43,1699.22,46821800,0.327614,38.7455889453178,14.158,5000.00036266414,716.7819726,268.174349362447,4808.4286370741,4786.85000716371,1,35,1353.83630295058,0.0690740570425987,22,3250.4167649727,31656913.1500199,15100272.6931689
Disp_1019,8,1904.19,74513600,0.307352,37.8676758367745,19.0782,4999.99724515654,149.4408312,57.7080817981192,2189.57514478967,1343.821072304,1,-5,1046.11317613137,0.0810203552246094,23,1880.18475322411,50574656.9358747,25168389.883295
Disp_1020,18,2398.47,30914200,0.333972,42.2143466399687,12.7006,5000.00766509717,423.5218326,138.95494552757,3159.62080406958,3075.76943349009,1,40,699.209447126018,0.0440005883574486,24,2364.48054810023,21004415.4903276,10277028.1174438
Disp_1021,18,1647.7,57565900,0.322514,21.0833278990417,17.3816,5000.00045115522,290.950866,186.288472852698,1663.62899242676,1538.04585953754,1,60,2303.40761350088,1.29491937160492,25,7370.37866402049,43354022.0673171,17248435.8706499
Disp_1022,34,1661.49,62596200,0.360364,20.2172752693219,15.6786,4999.99828803545,554.1733746,362.661503260646,2583.48088563373,2547.08428570133,1,NaN,Inf,Inf,26,6289.94592495667,46367042.9464171,9593985.13719803
Disp_1023,42,2107.44,67220400,0.341165,34.9286927406187,14.3852,5000.00063089559,868.3074288,371.152349393137,5713.08419728035,5680.56001430153,1,NaN,Inf,Inf,27,4402.80804716735,49646210.3917182,24521015.6247884
Disp_1024,15,1940.85,83092100,0.270818,28.2068174333731,16.4822,5000.00046137144,285.5960775,150.607485026847,2494.07385209019,2152.02686721642,1,-45,3096.6584544772,0.534024477005005,28,4562.58674808878,62822673.0762966,29752110.1618868
Disp_1025,48,1890.43,64935100,0.323761,40.4110550916003,18.9406,4999.99654952269,890.1656784,313.100799361417,6431.22532858424,6405.56808413427,1,NaN,Inf,Inf,29,5098.58702105386,43843996.1037179,23008858.7134184
Disp_1026,38,1954.13,65710400,0.322612,27.7689556755934,18.3865,4999.99512979592,728.4605814,389.065490987316,4206.79162248337,4170.12164583385,1,NaN,Inf,Inf,30,6700.68062898275,50045343.9817959,17160012.3048464
Disp_1027,19,2299.42,71689300,0.39264,25.8760825190322,14.9382,4999.99934548221,428.5888938,241.541454369316,2784.07719310107,2628.62733126705,1,35,2333.16781494608,0.32616001367569,31,2686.32721068322,51374785.1458214,21775081.5558911
Disp_1028,22,2382.25,94958400,0.269549,29.4765203203713,13.6353,4999.99685310312,514.137195,261.147325508281,4021.96149595374,3821.5695828911,1,35,3593.37668324807,0.485967069864273,32,4188.88083408006,73298864.2705713,33232080.0211146
Disp_1029,19,1780.06,70270500,0.309999,44.0048896899784,14.4525,4999.99775970615,331.7853834,101.287522387405,3982.88806958365,3725.48763176253,1,40,554.644160683171,0.017119999974966,33,1871.01617357699,46919640.0044259,22687834.7112021
Disp_103,37,1767.99842941945,96484700,0.291446,21.9238534137828,18.6588,4999.99883645098,641.730389926378,402.124929609667,3514.27236980813,3456.87294409652,1,NaN,Inf,Inf,34,9813.66558447074,74704325.5479756,26757585.4860428
Disp_1030,14,2357.04,93525400,0.278296,37.2310467416176,19.8778,5000.00654561839,323.7158736,127.857851403224,3771.65522877243,3219.87867452853,1,NaN,Inf,Inf,35,3508.17179731928,65922885.0249442,33354337.313153
Disp_1031,6,1889.88,64777100,0.275632,26.2007513433523,15.2158,5000.00326546506,111.2383368,62.1246512084013,1144.63900803389,593.170929751106,1,90,478.948967762256,0.115840002894402,36,3134.14508927035,47445187.3914459,21913539.9946852
Disp_1032,11,2295.88,31284800,0.33579,25.9038995565759,17.2174,4999.99670570803,247.7484108,139.516294000777,1510.99559227285,1340.57714369829,1,90,1644.16969337247,0.850638747215271,37,5394.59166457909,23611137.0936465,8196691.34561502
Disp_1033,35,1891.22,65964200,0.338788,44.1772266290588,16.0023,4999.99391676935,649.350387,196.831026246161,5710.527225819,5653.86548990169,1,40,1128.27730779821,0.0358172506093979,38,2709.29827779734,44066353.8843148,23035640.930645
Disp_1034,39,1686.01,35583200,0.392822,35.8548316132383,19.8561,5000.0033797056,645.0505659,267.222783014596,3773.43829854151,3756.47798315988,1,NaN,Inf,Inf,39,3701.67533458347,25435006.4952686,13607971.051055
Disp_1036,36,2172.03,79925600,0.355534,43.4242372441288,19.4158,5000.00524940439,767.0741148,239.791353445612,6688.95570182124,6624.95537874766,1,-60,2077.17541310461,0.131776615977287,40,3804.56949602886,52562297.4999421,29130535.153784
Disp_1037,24,1696.76,54110500,0.365032,23.5805264903903,17.884,5000.00281427279,399.4851744,239.676100395234,2251.07952426399,2180.90710887784,1,NaN,Inf,Inf,41,5186.61167736763,39828133.6096303,13805028.7692519
Disp_1038,38,2217.77,74895600,0.348921,37.1028369442142,13.164,5000.00155689999,826.7403006,328.011298814114,6037.43270851864,5989.69549075615,1,-25,2137.85762722488,0.0874146819114685,42,3471.54927409265,52877804.4262057,26172260.4428659
Disp_1040,45,1757.09,82351800,0.382605,24.1677404114762,18.8811,5000.00095304078,775.6673805,458.101854031478,4119.06995672358,4089.05557327195,1,NaN,Inf,Inf,43,6229.56803069356,59982438.1423109,17466850.5260714
Disp_1041,13,2267.61,85598100,0.356355,23.2899023033223,18.5895,5000.00045297348,289.1883033,174.847981835428,2028.95643403224,1696.20554459284,1,90,1773.7797196595,0.566981375217438,44,6363.98455675105,61464803.7719141,29150642.7689212
Disp_1042,15,1890.84,93485900,0.294619,35.8040345480477,14.9705,4999.99244565084,278.237106,115.464285107966,3282.15700433359,2800.52228852605,1,0,1498.63289831662,0.0749075263738632,45,1975.82862348132,66103461.8307775,31752843.5172172
Disp_1043,9,2320.4,37414900,0.272537,41.9360256184338,12.2845,5000.00604856567,204.868116,67.9546678347197,2255.32131714037,1814.37874798137,1,40,339.033215688096,0.0196591354906559,46,2189.25389472271,26135480.6355338,11860246.6049827
Disp_1044,34,2236.82,33316400,0.289446,24.5966851954419,12.4391,4999.99941969439,746.0689428,435.534018326308,3182.2723757911,3163.96793482231,1,NaN,Inf,Inf,47,7244.70478611087,26318243.7420043,4454352.14903755
Disp_1045,15,2367.59,63048400,0.254813,20.1645197286021,18.1624,4999.9974229334,348.3908685,228.294622778265,1882.85591925239,1696.12993158454,1,55,2607.09640422997,1.89169609546661,48,8402.84906609776,50109020.0612969,18722263.7814108
Disp_1047,46,2320.97,71312300,0.358576,26.5874916821359,18.7531,4999.99974991464,1047.3609222,578.600011254272,5287.4598113386,5263.77815340637,1,NaN,Inf,Inf,49,8806.11118801356,53087034.9162594,11701697.0232087
Disp_1048,47,2242.17,71548500,0.350498,22.0799742724193,13.4244,5000.00290784342,1033.7973219,645.192490301131,4534.4160488686,4513.54515339883,1,NaN,Inf,Inf,50,7516.99550378129,53638065.224832,7030542.80649587
Disp_1049,25,1856.46,37243100,0.281073,36.2849103559602,18.4463,4999.99569196407,455.296815,185.851747476343,3215.35574050114,3160.39519723126,1,0,3030.60994669937,0.424703687429428,51,4367.73653627442,28361273.2106467,14551035.5703514
Disp_105,19,2026.79,86019300,0.389748,21.0489764686326,12.27,5000.00004902233,377.7733881,242.090090450253,2197.29108384647,2032.72205332201,1,NaN,Inf,Inf,52,2774.00704051411,61277232.3579806,25164726.5092559
Disp_1050,26,2260.42,78278800,0.325454,37.7088412176269,12.1357,4999.99668369367,576.5427252,223.900871628408,5015.66472203934,4891.44277711661,1,35,1070.19799118267,0.0358172506093979,53,2927.22954501216,55003804.2240268,26279331.6259633
Disp_1051,48,1859.35,60411800,0.334917,20.6078316207238,17.0153,4999.99912884439,875.530728,567.370534165871,3649.69090558637,3633.19986841316,1,NaN,Inf,Inf,54,8855.31551713286,45831287.4900975,4723097.56241984
Disp_1052,48,2106.13,91574200,0.311192,25.7800215403506,15.0583,5000.00270549932,991.7344944,560.412163606004,5419.08751706072,5387.61193816092,1,NaN,Inf,Inf,55,7177.14548119938,70357507.5526877,21467729.111462
Disp_1053,37,2319.11,58800800,0.297114,37.4974232483765,14.3446,4999.99615638868,841.7673567,329.361891948322,5701.63700860059,5663.53639677726,1,NaN,Inf,Inf,56,5107.59492353006,43065021.2438144,21038209.0493818
Disp_1054,12,1803.24,84815700,0.300636,36.4884753564285,12.793,5000.0010339517,212.2774128,86.0442962770074,2732.32992533249,2121.14376897899,1,0,1247.44834920833,0.0635174885392189,57,1399.16925115034,59178856.1425842,27196197.2915161
Disp_1056,6,2146.72,82462300,0.260295,25.2714439248478,18.6818,5000.0020534405,126.3559392,72.413676741634,1286.78345724582,647.703288547157,1,45,516.884203172437,0.0940923765301704,58,3261.34106546,60586747.1252541,28016529.8729034
Disp_1057,46,2252.57,64375600,0.387085,31.3167555874062,16.2516,4999.99983002049,1016.4947382,488.152317407448,5653.99816905369,5631.96155068332,1,NaN,Inf,Inf,59,4929.4247942038,46905333.5974369,17866152.0204441
Disp_1058,20,2099.83,60605300,0.391703,32.239688820295,14.6084,4999.99927492351,411.986646,192.20729950204,3156.58011209432,3019.89187950528,1,5,1788.97816487125,0.108303889632225,60,1941.57623673693,43037582.726979,21314324.0169751
Disp_1059,15,1753.88,84987200,0.356177,30.8532670913623,13.8157,4999.99866966428,258.083442,125.727618208444,2535.95442722099,2176.33668227444,1,0,1078.48837670824,0.0532237514853477,61,1456.24216096784,59415395.965309,29016639.2129522
Disp_106,30,2292.72,80034000,0.305004,34.9360766078005,19.2241,5000.00172043907,674.747496,288.345128575544,5245.75261836371,5155.77573817394,1,-5,3768.80629324035,0.239928305149078,62,5322.07087301551,59232023.2150272,30576545.5853167
Disp_1060,24,2214.35,45195900,0.388171,20.8562912326929,16.8738,5000.00224537669,521.346564,335.73403542323,2317.63492028139,2269.5060844073,1,NaN,Inf,Inf,63,7080.65388684011,32938051.4924206,3877604.58030686
Disp_1061,15,1714.47,97738900,0.33689,36.7468875935393,18.2923,4999.99880110595,252.2842605,101.347362127766,3193.03973964637,2686.97874878134,1,-5,1369.90477583786,0.0635174885392189,64,1776.26692801261,65631809.7392953,33424208.480292
Disp_1062,8,1844.36,57893800,0.252601,40.5600090395256,17.2328,5000.00941549448,144.7453728,50.6255470906664,2133.78275232177,1372.3268804682,1,5,1095.71862838823,0.101055018603802,65,1809.91016589996,40346990.6353859,19346534.4396436
Disp_1063,14,1992.41,70423900,0.287525,38.6091389148031,14.489,5000.00469811266,273.6375894,102.886572150371,3162.52682003711,2744.64223389455,1,0,1906.48082770371,0.115840002894402,66,1929.33664097785,49329504.2867021,23310052.6983036
Disp_1064,26,1963.23,65194000,0.348194,29.2144114218734,12.3799,4999.99933151915,500.7414438,256.339957014468,3394.01060249514,3309.11392683674,1,-5,2085.20709364381,0.148867562413216,67,2567.38329404752,48325208.6863078,20748749.1803156
Disp_1065,24,2185.25,32776500,0.281733,26.4348240899426,12.3496,4999.99836540834,514.49526,285.452514221839,2591.4107936427,2550.39842146644,1,NaN,Inf,Inf,68,5322.19783599472,25900651.1556142,5683378.0122078
Disp_1066,24,1736.21,92110600,0.30276,20.8328414505026,12.9153,4999.9990537094,408.7732824,263.396032976258,2383.98991435163,2258.34554397438,1,90,3541.65958117271,1.1678409576416,69,5266.50069083377,69720345.0045825,28061440.352545
Disp_1067,44,1836.26,88132600,0.31814,32.3820319316567,16.7024,5000.00353583437,792.6032664,368.115087135812,5608.96791796606,5565.67707151004,1,-10,4158.63605483632,0.27529564499855,70,4548.47697615029,66224972.4298762,31842231.8424573
Disp_1069,37,2315.92,37045200,0.311403,43.0525900126388,19.9256,5000.0112780922,840.6094824,266.75114547641,5202.20187695969,5181.32749201454,1,NaN,Inf,Inf,71,5926.47069472505,25705386.3397168,14219247.2304144
Disp_107,48,2388.53,63720300,0.319679,20.5092181372461,14.731,5000.00234864723,1124.7110064,730.659423310864,4443.15091654811,4426.38276829286,1,20,9932.63237430896,1.99999749660492,72,10451.0043467271,49039084.4287849,4605619.72460702
Disp_1070,49,1816.24,88753700,0.335745,21.2492551099305,14.3269,5000.00211256589,873.0484056,556.633032756317,4133.5774093899,4107.4993221993,1,NaN,Inf,Inf,73,7323.22366486511,66965757.5885991,13007176.9876382
Disp_1072,39,1755.24,67413100,0.306057,41.3013349015791,16.4835,4999.99330310661,671.5372716,228.309798266074,5633.28448410259,5586.57451031188,1,-90,1424.33613682885,0.0940923765301704,74,3606.57213903398,45846568.1272453,22913150.7770231
Disp_1073,45,2196.35,96657200,0.283345,40.0606944681496,16.3392,5000.00141725301,969.5787075,345.559079049471,7960.49571281342,7909.62024627272,1,NaN,Inf,Inf,75,5501.55573263607,66696301.4593565,32229950.2810013
Disp_1074,41,1845.24,78831300,0.363121,40.9480607589318,13.6042,4999.99255762295,742.1739804,255.771999550079,6214.7387362416,6167.25456555965,1,40,1238.19982431232,0.0321044921875,76,2311.17048666968,51527755.367609,25355808.7107044
Disp_1075,23,1760.9,79949800,0.285065,38.0347823044945,13.8336,5000.00160148469,397.311867,152.512238085834,4105.5894636041,3916.19267785459,1,10,2098.98181398355,0.115840002894402,77,2727.50563352813,56626506.4798215,26613246.9778226
Disp_1076,33,2288.87,49907200,0.397417,42.9704987348837,19.208,5000.00739273788,740.9758851,235.910642721739,5303.99950292341,5265.84802875579,1,-50,1567.81101741359,0.0940923765301704,78,3038.79377060395,32214939.6832689,18246944.9372639
Disp_1077,17,2188.1,56921000,0.363585,42.5212049968756,18.348,5000.00282485406,364.909437,118.280640882467,3689.59607724567,3474.08681746442,1,85,840.816914853656,0.0690740570425987,79,2310.76541758121,36939775.5459699,19819679.1629425
Disp_1078,21,1810.24,33320400,0.359458,32.581916314135,16.4258,5000.00187179691,372.9275424,172.104247095965,2444.29755505147,2382.63069347312,1,-5,1934.43631677523,0.239928305149078,80,2588.33943759831,24626652.9955299,11247757.7342559
Disp_108,23,1639.37,97734100,0.313917,24.00905682034,14.2907,4999.99890938916,369.8910531,219.389395491238,2604.59250569891,2439.69739480348,1,55,2910.22017779183,0.617673099040985,81,3515.29173757334,72533840.0279861,32538268.6593094
Disp_1080,44,1883.19,50021300,0.285653,42.1001835224503,15.8722,5000.00551361372,812.8601316,267.895130043353,5719.2488302457,5695.9804874188,1,-55,1560.60520855926,0.101055018603802,82,4494.47448204481,34977955.0476474,17360071.6370065
Disp_1081,43,1903.57,62357300,0.349911,41.1169380700955,14.4926,5000.00403754132,802.9829331,274.942970841015,5978.60445359443,5947.82900208834,1,40,1372.13939502581,0.048480149358511,83,2876.29667682693,41403960.294514,20549837.992311
Disp_1082,16,1931.72,71922500,0.30173,30.5157351154394,19.7505,4999.99688156235,303.2027712,149.243992341612,2664.94906452143,2390.29710028206,1,55,2824.07113269934,0.600616753101349,84,4638.78620953356,53433555.5977443,26876505.3409213
Disp_1083,36,2116.32,97086600,0.367528,23.8976626616162,13.1504,5000.00132367894,747.3995712,444.624798459682,4180.75853040097,4122.6225472173,1,NaN,Inf,Inf,85,4101.63246553861,71279074.7483917,24828946.036028
Disp_1084,17,2194.33,75233700,0.371127,28.8672998275412,13.0628,5000.0005751336,365.9484141,189.274867334602,2842.50066943643,2614.28549922165,1,-5,1500.82472047658,0.101055018603802,86,2029.61471937691,53965743.7970096,25228776.6902149
Disp_1085,25,2336.66,60490800,0.37546,35.8118501234956,14.2224,5000.00118089411,573.065865,237.750465972827,4280.43498117207,4192.51517651792,1,NaN,Inf,Inf,87,2739.68591871331,42812695.0578291,22099508.9361109
Disp_1086,47,1914.76,62794400,0.349852,37.8570491770981,17.9658,5000.00642233321,882.8383932,341.046206327953,5972.24695410461,5947.99513789392,1,NaN,Inf,Inf,88,4578.82991605095,42710628.4407827,22285032.1148671
Disp_1087,7,1745.3,65145900,0.252378,23.6992751760955,19.905,5000.0011545532,119.849751,71.6777983539509,1077.16733961897,622.207550513282,1,90,528.642341335987,0.140177801251411,89,3683.89581422035,48620198.9024463,23160012.6698184
Disp_1088,28,1961.23,52881800,0.364865,37.1958753401935,17.5783,5000.00449648728,538.7106564,213.037561591216,4053.51916469868,3991.4379483516,1,NaN,Inf,Inf,90,3141.32142562729,36727927.679334,19497896.2736572
Disp_1089,18,1932.73,56078700,0.394951,27.2934024512362,15.8994,5000.00182646543,341.2814634,184.787794354684,2325.48731225412,2186.98509239986,1,NaN,Inf,Inf,91,2221.05668161567,40118036.4073944,17789824.8758467
Disp_109,11,2162.58,38783800,0.398557,20.0154154289523,16.4196,4999.99768504418,233.3640078,153.489819204913,1203.6833193609,1041.07934836083,1,55,1295.48703895112,0.962509989738464,92,4660.61425094458,27915488.9758802,9073329.3032051
Disp_1090,22,1986.36,42907600,0.33823,29.7343123797393,18.5492,4999.99807358982,428.6962152,216.07199295268,2716.24275654745,2643.51006084332,1,30,3663.79582366704,0.850638747215271,93,4360.43587708627,32241460.149687,13743654.7878725
Disp_1091,7,1850.28,61070500,0.301483,28.2746061415045,13.2258,5000.00124714543,127.0587276,66.8712714410834,1327.34028694898,781.017183854062,1,-20,741.135372053729,0.101055018603802,94,2121.20080837538,44312586.4426469,20584101.0059637
